"value"	"Analysis_type"	"Comparison"
"115"	"Stfa2"	"promoter"	"i_vs_rest"
"116"	"Gm609"	"promoter"	"i_vs_rest"
"117"	"Speer2"	"promoter"	"i_vs_rest"
"118"	"Spry4"	"promoter"	"i_vs_rest"
"119"	"Mir3084-1"	"promoter"	"i_vs_rest"
"120"	"Map3k7"	"cgi"	"i_vs_rest"
"121"	"Hist1h3c"	"cgi"	"i_vs_rest"
"122"	"Tonsl"	"cgi"	"i_vs_rest"
"123"	"Triobp"	"cgi"	"i_vs_rest"
"124"	"Prdm9"	"cgi"	"i_vs_rest"
"125"	"Rasal3"	"cgi"	"i_vs_rest"
"126"	"Mir3084-1"	"cgi"	"i_vs_rest"
"127"	"Rp1"	"tiling"	"i_vs_rest"
"128"	"Sntg1"	"tiling"	"i_vs_rest"
"129"	"Sgk3"	"tiling"	"i_vs_rest"
"130"	"A830018L16Rik"	"tiling"	"i_vs_rest"
"131"	"Ncoa2"	"tiling"	"i_vs_rest"
"132"	"Eya1"	"tiling"	"i_vs_rest"
"133"	"Msc"	"tiling"	"i_vs_rest"
"134"	"Kcnb2"	"tiling"	"i_vs_rest"
"135"	"Stau2"	"tiling"	"i_vs_rest"
"136"	"Defb41"	"tiling"	"i_vs_rest"
"137"	"Pkhd1"	"tiling"	"i_vs_rest"
"138"	"Lincmd1"	"tiling"	"i_vs_rest"
"139"	"Rims1"	"tiling"	"i_vs_rest"
"140"	"Mir30c-2"	"tiling"	"i_vs_rest"
"141"	"Col19a1"	"tiling"	"i_vs_rest"
"142"	"Lmbrd1"	"tiling"	"i_vs_rest"
"143"	"Adgrb3"	"tiling"	"i_vs_rest"
"144"	"Gm597"	"tiling"	"i_vs_rest"
"145"	"Mir6342"	"tiling"	"i_vs_rest"
"146"	"Prim2"	"tiling"	"i_vs_rest"
"147"	"Hs6st1"	"tiling"	"i_vs_rest"
"148"	"Tsga10"	"tiling"	"i_vs_rest"
"149"	"Npas2"	"tiling"	"i_vs_rest"
"150"	"Map4k4"	"tiling"	"i_vs_rest"
"151"	"Pantr1"	"tiling"	"i_vs_rest"
"152"	"Gulp1"	"tiling"	"i_vs_rest"
"153"	"Wdr75"	"tiling"	"i_vs_rest"
"154"	"Stk-ps2"	"tiling"	"i_vs_rest"
"155"	"Dnah7b"	"tiling"	"i_vs_rest"
"156"	"C230029F24Rik"	"tiling"	"i_vs_rest"
"157"	"9330175M20Rik"	"tiling"	"i_vs_rest"
"158"	"Myo1b"	"tiling"	"i_vs_rest"
"159"	"Hsfy2"	"tiling"	"i_vs_rest"
"160"	"4930558J18Rik"	"tiling"	"i_vs_rest"
"161"	"Orc2"	"tiling"	"i_vs_rest"
"162"	"Stradb"	"tiling"	"i_vs_rest"
"163"	"Pard3b"	"tiling"	"i_vs_rest"
"164"	"Mettl21a"	"tiling"	"i_vs_rest"
"165"	"Crygf"	"tiling"	"i_vs_rest"
"166"	"Unc80"	"tiling"	"i_vs_rest"
"167"	"Cps1"	"tiling"	"i_vs_rest"
"168"	"Erbb4"	"tiling"	"i_vs_rest"
"169"	"Atic"	"tiling"	"i_vs_rest"
"170"	"1700027A15Rik"	"tiling"	"i_vs_rest"
"171"	"6030407O03Rik"	"tiling"	"i_vs_rest"
"172"	"Pnkd"	"tiling"	"i_vs_rest"
"173"	"Epha4"	"tiling"	"i_vs_rest"
"174"	"Pax3"	"tiling"	"i_vs_rest"
"175"	"1700016L21Rik"	"tiling"	"i_vs_rest"
"176"	"Rhbdd1"	"tiling"	"i_vs_rest"
"177"	"Fbxo36"	"tiling"	"i_vs_rest"
"178"	"Pde6d"	"tiling"	"i_vs_rest"
"179"	"Gigyf2"	"tiling"	"i_vs_rest"
"180"	"4930598F16Rik"	"tiling"	"i_vs_rest"
"181"	"1700063A18Rik"	"tiling"	"i_vs_rest"
"182"	"Cntnap5b"	"tiling"	"i_vs_rest"
"183"	"Cdh20"	"tiling"	"i_vs_rest"
"184"	"Rnf152"	"tiling"	"i_vs_rest"
"185"	"Serpinb5"	"tiling"	"i_vs_rest"
"186"	"D830032E09Rik"	"tiling"	"i_vs_rest"
"187"	"Cdh7"	"tiling"	"i_vs_rest"
"188"	"Cdh19"	"tiling"	"i_vs_rest"
"189"	"Dsel"	"tiling"	"i_vs_rest"
"190"	"Tsn"	"tiling"	"i_vs_rest"
"191"	"Clasp1"	"tiling"	"i_vs_rest"
"192"	"En1"	"tiling"	"i_vs_rest"
"193"	"Celrr"	"tiling"	"i_vs_rest"
"194"	"Ddx18"	"tiling"	"i_vs_rest"
"195"	"Dpp10"	"tiling"	"i_vs_rest"
"196"	"Actr3"	"tiling"	"i_vs_rest"
"197"	"Nckap5"	"tiling"	"i_vs_rest"
"198"	"Mgat5"	"tiling"	"i_vs_rest"
"199"	"Tmem163"	"tiling"	"i_vs_rest"
"200"	"Zp3r"	"tiling"	"i_vs_rest"
"201"	"Elk4"	"tiling"	"i_vs_rest"
"202"	"Mfsd4a"	"tiling"	"i_vs_rest"
"203"	"Cdk18"	"tiling"	"i_vs_rest"
"204"	"Lemd1"	"tiling"	"i_vs_rest"
"205"	"Lgr6"	"tiling"	"i_vs_rest"
"206"	"Elf3"	"tiling"	"i_vs_rest"
"207"	"Atp6v1g3"	"tiling"	"i_vs_rest"
"208"	"Cdc73"	"tiling"	"i_vs_rest"
"209"	"Rgs1"	"tiling"	"i_vs_rest"
"210"	"Rgs18"	"tiling"	"i_vs_rest"
"211"	"Brinp3"	"tiling"	"i_vs_rest"
