"value"	"Analysis_type"	"Comparison"
"2046"	"Atp1a4"	"tiling200"	"i_vs_rest"
"2047"	"Atp1a2"	"tiling200"	"i_vs_rest"
"2048"	"Igsf8"	"tiling200"	"i_vs_rest"
"2049"	"Kcnj9"	"tiling200"	"i_vs_rest"
"2050"	"Kcnj10"	"tiling200"	"i_vs_rest"
"2051"	"Slamf9"	"tiling200"	"i_vs_rest"
"2052"	"Cfap45"	"tiling200"	"i_vs_rest"
"2053"	"Fcer1a"	"tiling200"	"i_vs_rest"
"2054"	"Cadm3"	"tiling200"	"i_vs_rest"
"2055"	"Olfr417"	"tiling200"	"i_vs_rest"
"2056"	"Fmn2"	"tiling200"	"i_vs_rest"
"2057"	"Rgs7"	"tiling200"	"i_vs_rest"
"2058"	"Kmo"	"tiling200"	"i_vs_rest"
"2059"	"Pld5"	"tiling200"	"i_vs_rest"
"2060"	"Cep170"	"tiling200"	"i_vs_rest"
"2061"	"Sdccag8"	"tiling200"	"i_vs_rest"
"2062"	"Catspere2"	"tiling200"	"i_vs_rest"
"2063"	"Desi2"	"tiling200"	"i_vs_rest"
"2064"	"Smyd3"	"tiling200"	"i_vs_rest"
"2065"	"Cdc42bpa"	"tiling200"	"i_vs_rest"
"2066"	"Itpkb"	"tiling200"	"i_vs_rest"
"2067"	"Stum"	"tiling200"	"i_vs_rest"
"2068"	"Lin9"	"tiling200"	"i_vs_rest"
"2069"	"Acbd3"	"tiling200"	"i_vs_rest"
"2070"	"Sde2"	"tiling200"	"i_vs_rest"
"2071"	"Tmem63a"	"tiling200"	"i_vs_rest"
"2072"	"Ephx1"	"tiling200"	"i_vs_rest"
"2073"	"9130409I23Rik"	"tiling200"	"i_vs_rest"
"2074"	"Cnih3"	"tiling200"	"i_vs_rest"
"2075"	"Lbr"	"tiling200"	"i_vs_rest"
"2076"	"Enah"	"tiling200"	"i_vs_rest"
"2077"	"Srp9"	"tiling200"	"i_vs_rest"
"2078"	"Degs1"	"tiling200"	"i_vs_rest"
"2079"	"Capn2"	"tiling200"	"i_vs_rest"
"2080"	"Susd4"	"tiling200"	"i_vs_rest"
"2081"	"Disp1"	"tiling200"	"i_vs_rest"
"2082"	"1700056E22Rik"	"tiling200"	"i_vs_rest"
"2083"	"Dusp10"	"tiling200"	"i_vs_rest"
"2084"	"1700112H15Rik"	"tiling200"	"i_vs_rest"
"2085"	"4930488B22Rik"	"tiling200"	"i_vs_rest"
"2086"	"5033404E19Rik"	"tiling200"	"i_vs_rest"
"2087"	"Lyplal1"	"tiling200"	"i_vs_rest"
"2088"	"Tgfb2"	"tiling200"	"i_vs_rest"
"2089"	"Rrp15"	"tiling200"	"i_vs_rest"
"2090"	"D1Pas1"	"tiling200"	"i_vs_rest"
"2091"	"Gpatch2"	"tiling200"	"i_vs_rest"
"2092"	"Esrrg"	"tiling200"	"i_vs_rest"
"2093"	"Ush2a"	"tiling200"	"i_vs_rest"
"2094"	"Kctd3"	"tiling200"	"i_vs_rest"
"2095"	"Kcnk2"	"tiling200"	"i_vs_rest"
"2096"	"Ptpn14"	"tiling200"	"i_vs_rest"
"2097"	"Smyd2"	"tiling200"	"i_vs_rest"
"2098"	"Prox1"	"tiling200"	"i_vs_rest"
"2099"	"LOC102632463"	"tiling200"	"i_vs_rest"
"2100"	"Rps6kc1"	"tiling200"	"i_vs_rest"
"2101"	"Flvcr1"	"tiling200"	"i_vs_rest"
"2102"	"Batf3"	"tiling200"	"i_vs_rest"
"2103"	"Nenf"	"tiling200"	"i_vs_rest"
"2104"	"Ints7"	"tiling200"	"i_vs_rest"
"2105"	"Kcnh1"	"tiling200"	"i_vs_rest"
"2106"	"Syt14"	"tiling200"	"i_vs_rest"
"2107"	"Diexf"	"tiling200"	"i_vs_rest"
"2108"	"Irf6"	"tiling200"	"i_vs_rest"
"2109"	"Mir205"	"tiling200"	"i_vs_rest"
"2110"	"Frmd4a"	"tiling200"	"i_vs_rest"
"2111"	"Prpf18"	"tiling200"	"i_vs_rest"
"2112"	"Bend7"	"tiling200"	"i_vs_rest"
"2113"	"Ucma"	"tiling200"	"i_vs_rest"
"2114"	"Camk1d"	"tiling200"	"i_vs_rest"
"2115"	"Dhtkd1"	"tiling200"	"i_vs_rest"
"2116"	"Upf2"	"tiling200"	"i_vs_rest"
"2117"	"A230108P19Rik"	"tiling200"	"i_vs_rest"
"2118"	"Usp6nl"	"tiling200"	"i_vs_rest"
"2119"	"Celf2"	"tiling200"	"i_vs_rest"
"2120"	"1700061F12Rik"	"tiling200"	"i_vs_rest"
"2121"	"Taf3"	"tiling200"	"i_vs_rest"
"2122"	"Itih5"	"tiling200"	"i_vs_rest"
"2123"	"Sfmbt2"	"tiling200"	"i_vs_rest"
"2124"	"Prkcq"	"tiling200"	"i_vs_rest"
"2125"	"8030442B05Rik"	"tiling200"	"i_vs_rest"
"2126"	"Il15ra"	"tiling200"	"i_vs_rest"
"2127"	"Itga8"	"tiling200"	"i_vs_rest"
"2128"	"Mindy3"	"tiling200"	"i_vs_rest"
"2129"	"Pter"	"tiling200"	"i_vs_rest"
"2130"	"Trdmt1"	"tiling200"	"i_vs_rest"
"2131"	"St8sia6"	"tiling200"	"i_vs_rest"
"2132"	"Slc39a12"	"tiling200"	"i_vs_rest"
"2133"	"Arl5b"	"tiling200"	"i_vs_rest"
"2134"	"Malrd1"	"tiling200"	"i_vs_rest"
"2135"	"4930515L03Rik"	"tiling200"	"i_vs_rest"
"2136"	"Nebl"	"tiling200"	"i_vs_rest"
"2137"	"H2al2a"	"tiling200"	"i_vs_rest"
"2138"	"Dnajc1"	"tiling200"	"i_vs_rest"
"2139"	"Carlr"	"tiling200"	"i_vs_rest"
"2140"	"4921504E06Rik"	"tiling200"	"i_vs_rest"
"2141"	"Otud1"	"tiling200"	"i_vs_rest"
"2142"	"Etl4"	"tiling200"	"i_vs_rest"
"2143"	"Gpr158"	"tiling200"	"i_vs_rest"
"2144"	"Myo3a"	"tiling200"	"i_vs_rest"
"2145"	"Hnmt"	"tiling200"	"i_vs_rest"
"2146"	"Il1f8"	"tiling200"	"i_vs_rest"
"2147"	"Il1f10"	"tiling200"	"i_vs_rest"
"2148"	"Psd4"	"tiling200"	"i_vs_rest"
"2149"	"Cacna1b"	"tiling200"	"i_vs_rest"
"2150"	"Tubb4b"	"tiling200"	"i_vs_rest"
"2151"	"Rnf208"	"tiling200"	"i_vs_rest"
"2152"	"Ndor1"	"tiling200"	"i_vs_rest"
"2153"	"Abca2"	"tiling200"	"i_vs_rest"
"2154"	"Lcn12"	"tiling200"	"i_vs_rest"
"2155"	"Traf2"	"tiling200"	"i_vs_rest"
"2156"	"Bmyc"	"tiling200"	"i_vs_rest"
"2157"	"Obp2b"	"tiling200"	"i_vs_rest"
"2158"	"Glt6d1"	"tiling200"	"i_vs_rest"
"2159"	"Kcnt1"	"tiling200"	"i_vs_rest"
"2160"	"Nacc2"	"tiling200"	"i_vs_rest"
"2161"	"Tmem250-ps"	"tiling200"	"i_vs_rest"
"2162"	"Gpsm1"	"tiling200"	"i_vs_rest"
"2163"	"Snapc4"	"tiling200"	"i_vs_rest"
"2164"	"Entr1"	"tiling200"	"i_vs_rest"
"2165"	"Notch1"	"tiling200"	"i_vs_rest"
"2166"	"Fam69b"	"tiling200"	"i_vs_rest"
"2167"	"Surf6"	"tiling200"	"i_vs_rest"
"2168"	"Adamts13"	"tiling200"	"i_vs_rest"
"2169"	"Vav2"	"tiling200"	"i_vs_rest"
"2170"	"Wdr5"	"tiling200"	"i_vs_rest"
"2171"	"Rxra"	"tiling200"	"i_vs_rest"
"2172"	"Col5a1"	"tiling200"	"i_vs_rest"
"2173"	"Olfm1"	"tiling200"	"i_vs_rest"
"2174"	"Ralgds"	"tiling200"	"i_vs_rest"
"2175"	"Ak8"	"tiling200"	"i_vs_rest"
"2176"	"Ddx31"	"tiling200"	"i_vs_rest"
"2177"	"Barhl1"	"tiling200"	"i_vs_rest"
"2178"	"Cfap77"	"tiling200"	"i_vs_rest"
"2179"	"Setx"	"tiling200"	"i_vs_rest"
"2180"	"Ntng2"	"tiling200"	"i_vs_rest"
"2181"	"Med27"	"tiling200"	"i_vs_rest"
"2182"	"Rapgef1"	"tiling200"	"i_vs_rest"
"2183"	"Coq4"	"tiling200"	"i_vs_rest"
"2184"	"Cercam"	"tiling200"	"i_vs_rest"
"2185"	"Odf2"	"tiling200"	"i_vs_rest"
"2186"	"Gle1"	"tiling200"	"i_vs_rest"
"2187"	"Wdr34"	"tiling200"	"i_vs_rest"
"2188"	"Pkn3"	"tiling200"	"i_vs_rest"
"2189"	"Tbc1d13"	"tiling200"	"i_vs_rest"
"2190"	"Ptpa"	"tiling200"	"i_vs_rest"
"2191"	"Ier5l"	"tiling200"	"i_vs_rest"
"2192"	"Cstad"	"tiling200"	"i_vs_rest"
"2193"	"Gm14486"	"tiling200"	"i_vs_rest"
"2194"	"Fnbp1"	"tiling200"	"i_vs_rest"
"2195"	"Ncs1"	"tiling200"	"i_vs_rest"
"2196"	"Ass1"	"tiling200"	"i_vs_rest"
"2197"	"Prdm12"	"tiling200"	"i_vs_rest"
"2198"	"Lamc3"	"tiling200"	"i_vs_rest"
"2199"	"Nup214"	"tiling200"	"i_vs_rest"
"2200"	"Plpp7"	"tiling200"	"i_vs_rest"
"2201"	"Prrc2b"	"tiling200"	"i_vs_rest"
"2202"	"Dnm1"	"tiling200"	"i_vs_rest"
"2203"	"Ptges2"	"tiling200"	"i_vs_rest"
"2204"	"Naif1"	"tiling200"	"i_vs_rest"
"2205"	"Eng"	"tiling200"	"i_vs_rest"
"2206"	"Sh2d3c"	"tiling200"	"i_vs_rest"
"2207"	"Stxbp1"	"tiling200"	"i_vs_rest"
"2208"	"Fam129b"	"tiling200"	"i_vs_rest"
"2209"	"Garnl3"	"tiling200"	"i_vs_rest"
"2210"	"Ralgps1"	"tiling200"	"i_vs_rest"
"2211"	"C130021I20Rik"	"tiling200"	"i_vs_rest"
"2212"	"Mvb12b"	"tiling200"	"i_vs_rest"
"2213"	"C230014O12Rik"	"tiling200"	"i_vs_rest"
"2214"	"Pbx3"	"tiling200"	"i_vs_rest"
"2215"	"Mapkap1"	"tiling200"	"i_vs_rest"
"2216"	"Rab14"	"tiling200"	"i_vs_rest"
"2217"	"Gsn"	"tiling200"	"i_vs_rest"
"2218"	"Dab2ip"	"tiling200"	"i_vs_rest"
"2219"	"Ttll11"	"tiling200"	"i_vs_rest"
"2220"	"Ndufa8"	"tiling200"	"i_vs_rest"
"2221"	"Olfr339"	"tiling200"	"i_vs_rest"
"2222"	"Olfr348"	"tiling200"	"i_vs_rest"
"2223"	"Olfr360"	"tiling200"	"i_vs_rest"
"2224"	"Olfr368"	"tiling200"	"i_vs_rest"
"2225"	"Crb2"	"tiling200"	"i_vs_rest"
"2226"	"Lhx2"	"tiling200"	"i_vs_rest"
"2227"	"Nr5a1"	"tiling200"	"i_vs_rest"
"2228"	"Lrp1b"	"tiling200"	"i_vs_rest"
"2229"	"Arhgap15"	"tiling200"	"i_vs_rest"
"2230"	"Gtdc1"	"tiling200"	"i_vs_rest"
"2231"	"Zeb2"	"tiling200"	"i_vs_rest"
"2232"	"Acvr2a"	"tiling200"	"i_vs_rest"
"2233"	"Orc4"	"tiling200"	"i_vs_rest"
"2234"	"Mbd5"	"tiling200"	"i_vs_rest"
"2235"	"Lypd6"	"tiling200"	"i_vs_rest"
"2236"	"Rnd3"	"tiling200"	"i_vs_rest"
"2237"	"Gm13497"	"tiling200"	"i_vs_rest"
"2238"	"1700057H21Rik"	"tiling200"	"i_vs_rest"
"2239"	"Tas2r134"	"tiling200"	"i_vs_rest"
"2240"	"Fmnl2"	"tiling200"	"i_vs_rest"
"2241"	"Arl6ip6"	"tiling200"	"i_vs_rest"
"2242"	"Rprm"	"tiling200"	"i_vs_rest"
"2243"	"Galnt13"	"tiling200"	"i_vs_rest"
"2244"	"Kcnj3"	"tiling200"	"i_vs_rest"
"2245"	"Mir195b"	"tiling200"	"i_vs_rest"
"2246"	"Nr4a2"	"tiling200"	"i_vs_rest"
"2247"	"Gpd2"	"tiling200"	"i_vs_rest"
"2248"	"Pkp4"	"tiling200"	"i_vs_rest"
"2249"	"Dapl1"	"tiling200"	"i_vs_rest"
"2250"	"Tanc1"	"tiling200"	"i_vs_rest"
"2251"	"Baz2b"	"tiling200"	"i_vs_rest"
"2252"	"Gm13580"	"tiling200"	"i_vs_rest"
"2253"	"Itgb6"	"tiling200"	"i_vs_rest"
"2254"	"Gm13582"	"tiling200"	"i_vs_rest"
"2255"	"Tank"	"tiling200"	"i_vs_rest"
"2256"	"Slc4a10"	"tiling200"	"i_vs_rest"
"2257"	"Fap"	"tiling200"	"i_vs_rest"
"2258"	"Kcnh7"	"tiling200"	"i_vs_rest"
"2259"	"Fign"	"tiling200"	"i_vs_rest"
"2260"	"Grb14"	"tiling200"	"i_vs_rest"
"2261"	"Cobll1"	"tiling200"	"i_vs_rest"
"2262"	"Csrnp3"	"tiling200"	"i_vs_rest"
"2263"	"Scn1a"	"tiling200"	"i_vs_rest"
"2264"	"Stk39"	"tiling200"	"i_vs_rest"
"2265"	"Cers6"	"tiling200"	"i_vs_rest"
"2266"	"Lrp2"	"tiling200"	"i_vs_rest"
"2267"	"Bbs5"	"tiling200"	"i_vs_rest"
"2268"	"Ppig"	"tiling200"	"i_vs_rest"
"2269"	"Mettl5"	"tiling200"	"i_vs_rest"
"2270"	"Myo3b"	"tiling200"	"i_vs_rest"
"2271"	"Tlk1"	"tiling200"	"i_vs_rest"
"2272"	"Dync1i2"	"tiling200"	"i_vs_rest"
"2273"	"Dlx1as"	"tiling200"	"i_vs_rest"
"2274"	"Dlx2"	"tiling200"	"i_vs_rest"
"2275"	"Platr26"	"tiling200"	"i_vs_rest"
"2276"	"Itga6"	"tiling200"	"i_vs_rest"
"2277"	"Pdk1"	"tiling200"	"i_vs_rest"
"2278"	"Rapgef4"	"tiling200"	"i_vs_rest"
"2279"	"Map3k20"	"tiling200"	"i_vs_rest"
"2280"	"Cdca7"	"tiling200"	"i_vs_rest"
"2281"	"8430437L04Rik"	"tiling200"	"i_vs_rest"
"2282"	"6430710C18Rik"	"tiling200"	"i_vs_rest"
"2283"	"Sp3"	"tiling200"	"i_vs_rest"
"2284"	"Sp3os"	"tiling200"	"i_vs_rest"
"2285"	"Sp9"	"tiling200"	"i_vs_rest"
"2286"	"Wipf1"	"tiling200"	"i_vs_rest"
"2287"	"Chn1"	"tiling200"	"i_vs_rest"
"2288"	"Atp5g3"	"tiling200"	"i_vs_rest"
"2289"	"Lnpk"	"tiling200"	"i_vs_rest"
"2290"	"Mtx2"	"tiling200"	"i_vs_rest"
"2291"	"Fkbp7"	"tiling200"	"i_vs_rest"
"2292"	"Ttn"	"tiling200"	"i_vs_rest"
"2293"	"Ccdc141"	"tiling200"	"i_vs_rest"
"2294"	"Zfp385b"	"tiling200"	"i_vs_rest"
"2295"	"Gm14461"	"tiling200"	"i_vs_rest"
"2296"	"Cerkl"	"tiling200"	"i_vs_rest"
"2297"	"Ppp1r1c"	"tiling200"	"i_vs_rest"
"2298"	"Prdx6b"	"tiling200"	"i_vs_rest"
"2299"	"Nckap1"	"tiling200"	"i_vs_rest"
"2300"	"Nup35"	"tiling200"	"i_vs_rest"
"2301"	"Zfp804a"	"tiling200"	"i_vs_rest"
"2302"	"A130030D18Rik"	"tiling200"	"i_vs_rest"
"2303"	"Zc3h15"	"tiling200"	"i_vs_rest"
"2304"	"Calcrl"	"tiling200"	"i_vs_rest"
"2305"	"Ctnnd1"	"tiling200"	"i_vs_rest"
"2306"	"Timm10"	"tiling200"	"i_vs_rest"
"2307"	"Slc43a1"	"tiling200"	"i_vs_rest"
"2308"	"Slc43a3"	"tiling200"	"i_vs_rest"
"2309"	"Tnks1bp1"	"tiling200"	"i_vs_rest"
"2310"	"Olfr1000"	"tiling200"	"i_vs_rest"
"2311"	"Olfr1086"	"tiling200"	"i_vs_rest"
"2312"	"Olfr1105"	"tiling200"	"i_vs_rest"
"2313"	"Olfr153"	"tiling200"	"i_vs_rest"
"2314"	"Olfr1154"	"tiling200"	"i_vs_rest"
"2315"	"Olfr1196"	"tiling200"	"i_vs_rest"
"2316"	"Olfr1240"	"tiling200"	"i_vs_rest"
"2317"	"Olfr1251"	"tiling200"	"i_vs_rest"
"2318"	"Nup160"	"tiling200"	"i_vs_rest"
"2319"	"Agbl2"	"tiling200"	"i_vs_rest"
"2320"	"Slc39a13"	"tiling200"	"i_vs_rest"
"2321"	"Spi1"	"tiling200"	"i_vs_rest"
"2322"	"Mybpc3"	"tiling200"	"i_vs_rest"
"2323"	"Nr1h3"	"tiling200"	"i_vs_rest"
"2324"	"Lrp4"	"tiling200"	"i_vs_rest"
"2325"	"F2"	"tiling200"	"i_vs_rest"
"2326"	"Zfp408"	"tiling200"	"i_vs_rest"
"2327"	"Creb3l1"	"tiling200"	"i_vs_rest"
"2328"	"D930015M05Rik"	"tiling200"	"i_vs_rest"
"2329"	"Slc35c1"	"tiling200"	"i_vs_rest"
"2330"	"Chst1"	"tiling200"	"i_vs_rest"
"2331"	"Alx4"	"tiling200"	"i_vs_rest"
"2332"	"Ext2"	"tiling200"	"i_vs_rest"
"2333"	"Gm13889"	"tiling200"	"i_vs_rest"
"2334"	"Hsd17b12"	"tiling200"	"i_vs_rest"
"2335"	"Api5"	"tiling200"	"i_vs_rest"
"2336"	"Lrrc4c"	"tiling200"	"i_vs_rest"
"2337"	"B230118H07Rik"	"tiling200"	"i_vs_rest"
"2338"	"Prr5l"	"tiling200"	"i_vs_rest"
"2339"	"Ldlrad3"	"tiling200"	"i_vs_rest"
"2340"	"Fjx1"	"tiling200"	"i_vs_rest"
"2341"	"Pamr1"	"tiling200"	"i_vs_rest"
"2342"	"Slc1a2"	"tiling200"	"i_vs_rest"
"2343"	"Pdhx"	"tiling200"	"i_vs_rest"
"2344"	"Ehf"	"tiling200"	"i_vs_rest"
"2345"	"A930006I01Rik"	"tiling200"	"i_vs_rest"
"2346"	"Elf5"	"tiling200"	"i_vs_rest"
"2347"	"Abtb2"	"tiling200"	"i_vs_rest"
"2348"	"D430041D05Rik"	"tiling200"	"i_vs_rest"
"2349"	"Cstf3"	"tiling200"	"i_vs_rest"
"2350"	"Wt1os"	"tiling200"	"i_vs_rest"
"2351"	"Pax6os1"	"tiling200"	"i_vs_rest"
"2352"	"Pax6"	"tiling200"	"i_vs_rest"
"2353"	"Elp4"	"tiling200"	"i_vs_rest"
"2354"	"Dnajc24"	"tiling200"	"i_vs_rest"
"2355"	"Gm14015"	"tiling200"	"i_vs_rest"
"2356"	"BB218582"	"tiling200"	"i_vs_rest"
"2357"	"Kcna4"	"tiling200"	"i_vs_rest"
"2358"	"Mettl15"	"tiling200"	"i_vs_rest"
"2359"	"Kif18a"	"tiling200"	"i_vs_rest"
"2360"	"Ccdc34os"	"tiling200"	"i_vs_rest"
"2361"	"Olfr1295"	"tiling200"	"i_vs_rest"
"2362"	"Olfr1307"	"tiling200"	"i_vs_rest"
"2363"	"Lpcat4"	"tiling200"	"i_vs_rest"
"2364"	"Emc7"	"tiling200"	"i_vs_rest"
"2365"	"Aven"	"tiling200"	"i_vs_rest"
"2366"	"Fmn1"	"tiling200"	"i_vs_rest"
"2367"	"4930533B01Rik"	"tiling200"	"i_vs_rest"
"2368"	"Zfp770"	"tiling200"	"i_vs_rest"
"2369"	"Dph6"	"tiling200"	"i_vs_rest"
"2370"	"BC052040"	"tiling200"	"i_vs_rest"
"2371"	"G630016G05Rik"	"tiling200"	"i_vs_rest"
"2372"	"Spred1"	"tiling200"	"i_vs_rest"
"2373"	"Rasgrp1"	"tiling200"	"i_vs_rest"
"2374"	"Gm13985"	"tiling200"	"i_vs_rest"
"2375"	"Gpr176"	"tiling200"	"i_vs_rest"
"2376"	"Bahd1"	"tiling200"	"i_vs_rest"
"2377"	"Chst14"	"tiling200"	"i_vs_rest"
"2378"	"Ccdc32"	"tiling200"	"i_vs_rest"
"2379"	"Ppp1r14d"	"tiling200"	"i_vs_rest"
"2380"	"Ino80"	"tiling200"	"i_vs_rest"
"2381"	"Chp1"	"tiling200"	"i_vs_rest"
"2382"	"Rtf1"	"tiling200"	"i_vs_rest"
"2383"	"Mga"	"tiling200"	"i_vs_rest"
"2384"	"Pla2g4e"	"tiling200"	"i_vs_rest"
"2385"	"Vps39"	"tiling200"	"i_vs_rest"
"2386"	"Zfp106"	"tiling200"	"i_vs_rest"
"2387"	"Cdan1"	"tiling200"	"i_vs_rest"
"2388"	"Ubr1"	"tiling200"	"i_vs_rest"
"2389"	"Trp53bp1"	"tiling200"	"i_vs_rest"
"2390"	"Ppip5k1"	"tiling200"	"i_vs_rest"
"2391"	"Catsper2"	"tiling200"	"i_vs_rest"
"2392"	"Ell3"	"tiling200"	"i_vs_rest"
"2393"	"Frmd5"	"tiling200"	"i_vs_rest"
"2394"	"Sord"	"tiling200"	"i_vs_rest"
"2395"	"Duox2"	"tiling200"	"i_vs_rest"
"2396"	"Slc28a2"	"tiling200"	"i_vs_rest"
"2397"	"Sqor"	"tiling200"	"i_vs_rest"
"2398"	"Sema6d"	"tiling200"	"i_vs_rest"
"2399"	"Slc24a5"	"tiling200"	"i_vs_rest"
"2400"	"Cep152"	"tiling200"	"i_vs_rest"
"2401"	"Shc4"	"tiling200"	"i_vs_rest"
"2402"	"Cops2"	"tiling200"	"i_vs_rest"
"2403"	"Atp8b4"	"tiling200"	"i_vs_rest"
"2404"	"Slc27a2"	"tiling200"	"i_vs_rest"
"2405"	"Sppl2a"	"tiling200"	"i_vs_rest"
"2406"	"Ap4e1"	"tiling200"	"i_vs_rest"
"2407"	"Blvra"	"tiling200"	"i_vs_rest"
"2408"	"Ncaph"	"tiling200"	"i_vs_rest"
"2409"	"Tmem127"	"tiling200"	"i_vs_rest"
"2410"	"Gpat2"	"tiling200"	"i_vs_rest"
"2411"	"Kcnip3"	"tiling200"	"i_vs_rest"
"2412"	"Zfp661"	"tiling200"	"i_vs_rest"
"2413"	"Nphp1"	"tiling200"	"i_vs_rest"
"2414"	"Acoxl"	"tiling200"	"i_vs_rest"
"2415"	"Gm14005"	"tiling200"	"i_vs_rest"
"2416"	"Fbln7"	"tiling200"	"i_vs_rest"
"2417"	"Ttl"	"tiling200"	"i_vs_rest"
"2418"	"Ckap2l"	"tiling200"	"i_vs_rest"
"2419"	"Il1a"	"tiling200"	"i_vs_rest"
"2420"	"Il1bos"	"tiling200"	"i_vs_rest"
"2421"	"F830045P16Rik"	"tiling200"	"i_vs_rest"
"2422"	"Tgm3"	"tiling200"	"i_vs_rest"
"2423"	"Tmc2"	"tiling200"	"i_vs_rest"
"2424"	"Ubox5"	"tiling200"	"i_vs_rest"
"2425"	"Hspa12b"	"tiling200"	"i_vs_rest"
"2426"	"Cdc25b"	"tiling200"	"i_vs_rest"
"2427"	"Erv3"	"tiling200"	"i_vs_rest"
"2428"	"Prnp"	"tiling200"	"i_vs_rest"
"2429"	"Slc23a2"	"tiling200"	"i_vs_rest"
"2430"	"AU019990"	"tiling200"	"i_vs_rest"
"2431"	"Shld1"	"tiling200"	"i_vs_rest"
"2432"	"Fermt1"	"tiling200"	"i_vs_rest"
"2433"	"Mir3090"	"tiling200"	"i_vs_rest"
"2434"	"Plcb1"	"tiling200"	"i_vs_rest"
"2435"	"4930545L23Rik"	"tiling200"	"i_vs_rest"
"2436"	"Plcb4"	"tiling200"	"i_vs_rest"
"2437"	"Pak7"	"tiling200"	"i_vs_rest"
"2438"	"Ankef1"	"tiling200"	"i_vs_rest"
"2439"	"Snap25"	"tiling200"	"i_vs_rest"
"2440"	"Slx4ip"	"tiling200"	"i_vs_rest"
"2441"	"Jag1"	"tiling200"	"i_vs_rest"
"2442"	"Mir1952"	"tiling200"	"i_vs_rest"
"2443"	"Sptlc3"	"tiling200"	"i_vs_rest"
"2444"	"Ism1"	"tiling200"	"i_vs_rest"
"2445"	"Tasp1"	"tiling200"	"i_vs_rest"
"2446"	"Sel1l2"	"tiling200"	"i_vs_rest"
"2447"	"Macrod2"	"tiling200"	"i_vs_rest"
"2448"	"Pcsk2"	"tiling200"	"i_vs_rest"
"2449"	"Kat14"	"tiling200"	"i_vs_rest"
"2450"	"Dzank1"	"tiling200"	"i_vs_rest"
"2451"	"Dtd1"	"tiling200"	"i_vs_rest"
"2452"	"Scp2d1"	"tiling200"	"i_vs_rest"
"2453"	"Slc24a3"	"tiling200"	"i_vs_rest"
"2454"	"Cfap61"	"tiling200"	"i_vs_rest"
"2455"	"Insm1"	"tiling200"	"i_vs_rest"
"2456"	"4933406D12Rik"	"tiling200"	"i_vs_rest"
"2457"	"Kiz"	"tiling200"	"i_vs_rest"
"2458"	"Nkx2-2"	"tiling200"	"i_vs_rest"
"2459"	"A530006G24Rik"	"tiling200"	"i_vs_rest"
"2460"	"Foxa2"	"tiling200"	"i_vs_rest"
"2461"	"Sstr4"	"tiling200"	"i_vs_rest"
"2462"	"Cst3"	"tiling200"	"i_vs_rest"
"2463"	"Cst10"	"tiling200"	"i_vs_rest"
"2464"	"Syndig1"	"tiling200"	"i_vs_rest"
"2465"	"Vsx1"	"tiling200"	"i_vs_rest"
"2466"	"Ninl"	"tiling200"	"i_vs_rest"
"2467"	"4921509C19Rik"	"tiling200"	"i_vs_rest"
"2468"	"Tmem74b"	"tiling200"	"i_vs_rest"
"2469"	"4930556L07Rik"	"tiling200"	"i_vs_rest"
"2470"	"Scrt2"	"tiling200"	"i_vs_rest"
"2471"	"Rbck1"	"tiling200"	"i_vs_rest"
"2472"	"Sox12"	"tiling200"	"i_vs_rest"
"2473"	"Zcchc3"	"tiling200"	"i_vs_rest"
"2474"	"Defb22"	"tiling200"	"i_vs_rest"
"2475"	"H13"	"tiling200"	"i_vs_rest"
"2476"	"Cox4i2"	"tiling200"	"i_vs_rest"
"2477"	"Tpx2"	"tiling200"	"i_vs_rest"
"2478"	"Pofut1"	"tiling200"	"i_vs_rest"
"2479"	"Nol4l"	"tiling200"	"i_vs_rest"
"2480"	"Efcab8"	"tiling200"	"i_vs_rest"
"2481"	"Bpifb2"	"tiling200"	"i_vs_rest"
"2482"	"Bpifb1"	"tiling200"	"i_vs_rest"
"2483"	"Cdk5rap1"	"tiling200"	"i_vs_rest"
"2484"	"E2f1"	"tiling200"	"i_vs_rest"
"2485"	"Chmp4b"	"tiling200"	"i_vs_rest"
"2486"	"Itch"	"tiling200"	"i_vs_rest"
"2487"	"Pigu"	"tiling200"	"i_vs_rest"
"2488"	"Ggt7"	"tiling200"	"i_vs_rest"
"2489"	"Gss"	"tiling200"	"i_vs_rest"
"2490"	"Myh7b"	"tiling200"	"i_vs_rest"
"2491"	"Fam83c"	"tiling200"	"i_vs_rest"
"2492"	"Gdf5"	"tiling200"	"i_vs_rest"
"2493"	"Cpne1"	"tiling200"	"i_vs_rest"
"2494"	"Cnbd2"	"tiling200"	"i_vs_rest"
"2495"	"Dlgap4"	"tiling200"	"i_vs_rest"
"2496"	"Tgif2"	"tiling200"	"i_vs_rest"
"2497"	"Ndrg3"	"tiling200"	"i_vs_rest"
"2498"	"Soga1"	"tiling200"	"i_vs_rest"
"2499"	"Rbl1"	"tiling200"	"i_vs_rest"
"2500"	"Src"	"tiling200"	"i_vs_rest"
"2501"	"Blcap"	"tiling200"	"i_vs_rest"
"2502"	"Ctnnbl1"	"tiling200"	"i_vs_rest"
"2503"	"Vstm2l"	"tiling200"	"i_vs_rest"
"2504"	"Bpi"	"tiling200"	"i_vs_rest"
"2505"	"Lbp"	"tiling200"	"i_vs_rest"
"2506"	"Ralgapb"	"tiling200"	"i_vs_rest"
"2507"	"Gm14204"	"tiling200"	"i_vs_rest"
